Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
23,MAYO BELWA,63579,EL-063579,Exploration License,Valid,GEEWA MINING LTD,15/11/2024,14/11/2027,99,20.95,Adamawa,Mayo-Belwa,"Copper,Glass sand,Cassiterite,Ilmenite,Monazite,Zircon sand"
24,Yola South,36688,SSML-036688,Small Scale Mining Lease,Blocked,SYREX NIGERIA LIMITED,28/07/2022,27/07/2027,5,1.06,Adamawa,Fufore,"Tin,Fluorspar/fluorite,Columbite,Wolframite"
25,MUBI NORTH,40133,SSML-040133,Small Scale Mining Lease,Blocked,OVAL GLOBAL ENGINEERING SERVICES LTD,25/11/2022,24/11/2027,4,0.84,Adamawa,Mubi North,"Lithium,Tantalum,Beryl"
26,FUFORE,63757,SSML-063757,Small Scale Mining Lease,Valid,ALHAJI MAIWADA BABA ALHAJI,17/12/2024,16/12/2029,2,0.42,Adamawa,Yola South,"Copper,Fluorspar/fluorite,Wolframite"
27,FUFORE,63758,SSML-063758,Small Scale Mining Lease,Valid,ALHAJI MAIWADA BABA ALHAJI,17/12/2024,16/12/2029,2,0.42,Adamawa,Yola South,"Copper,Fluorspar/fluorite,Wolframite"
28,ADAMAWA,59017,EL-059017,Exploration License,Valid,AT GONGOLA GROUP OF COMPANIES NIGERIA LTD,22/04/2024,21/04/2027,450,94.48,Adamawa,Madagali,"Copper,Lithium,Tantalum,Fluorspar/fluorite,Cassiterite,Columbite,Gold,Monazite"
29,SONG,59033,EL-059033,Exploration License,Valid,KMS EXPRESS LIMITED,22/04/2024,21/04/2027,100,21.1,Adamawa,Shelleng,"Fluorspar/fluorite,Baryte"
30,FUFORE,61696,SSML-061696,Small Scale Mining Lease,Valid,JENGLE INTEGRATED SERVICES LTD,26/08/2024,25/08/2029,3,0.63,Adamawa,Fufore,"Fluorspar/fluorite,Quartz,Beryl,Cassiterite,Gold,Monazite,Wolframite"
31,,25300,EL-025300,Exploration License,Released,ADAMAWA MINING COMPANY LIMITED,19/09/2017,18/09/2022,192,40.53,Adamawa,"Guyuk, Lamburde","Clay,Gypsum,Limestone,Shale,Coal"
32,,25303,EL-025303,Exploration License,Released,ADAMAWA MINING COMPANY LIMITED,19/09/2017,18/09/2022,480,101.33,Adamawa,"Guyuk, Lamburde","Clay,Gypsum,Limestone,Shale,Coal"
33,GUYUK,59886,EL-059886,Exploration License,Valid,ADAMAWA MINING COMPANY LIMITED,08/04/2024,07/04/2027,200,42.22,Adamawa,"Guyuk, Lamburde","Clay,Gypsum,Limestone,Shale,Coal"
34,FUFORE,59893,EL-059893,Exploration License,Valid,SAMPARACO NIGERIA LIMITED,22/04/2024,21/04/2027,200,42.28,Adamawa,"Fufore, Jada","Copper,Graphite,Gold"
35,,25414,EL-025414,Exploration License,Blocked,ZAREWA GLOBAL SERVICES LTD,14/06/2017,13/06/2024,200,42.11,Adamawa,"Hong, Song","Tourmaline (others),Gold,Precious stones"
36,LAMBURDE,59890,EL-059890,Exploration License,Valid,ADAMAWA MINING COMPANY LIMITED,08/04/2024,07/04/2027,480,101.33,Adamawa,"Guyuk, Lamburde","Clay,Gypsum,Limestone,Shale,Coal"
37,YOLA SOUTH,60312,EL-060312,Exploration License,Valid,RAGORDE INVESTMENT NIGERIA LTD,26/08/2024,25/08/2027,21,4.44,Adamawa,Fufore,"Copper,Lead,Zinc,Gold"
38,Maiha,63850,EL-063850,Exploration License,Valid,JAS MINERALS NIG LTD,17/12/2024,16/12/2027,15,3.16,Adamawa,Maiha,"Copper,Fluorspar/fluorite"
39,SONG,59035,EL-059035,Exploration License,Valid,NORDATECH ENERGY LTD,22/04/2024,21/04/2027,100,21.1,Adamawa,"Shelleng, Song","Fluorspar/fluorite,Baryte"
